html_file,html_word_count,firebase_collection,firebase_asset_id,firebase_asset_name,html_text_in_asset_pct,asset_text_in_html_pct,migration_percentage,migration_status
mythos/christian/lineage/matthew-genealogy.html,1465,deities,christian_virgin_mary,Virgin,5.07,27.27,16.17,Not Migrated
FIREBASE/mythos/christian/lineage/matthew-genealogy.html,1462,deities,christian_virgin_mary,Virgin,5.08,27.27,16.18,Not Migrated
FIREBASE/mythos/jewish/kabbalah/worlds/assiah.html,1602,cosmology,christian_afterlife,Christian Mythology,5.54,27.07,16.3,Not Migrated
mythos/jewish/kabbalah/worlds/assiah.html,1602,cosmology,christian_afterlife,Christian Mythology,5.54,27.07,16.3,Not Migrated
FIREBASE/mythos/roman/deities/pluto.html,446,items,hermes-caduceus,Caduceus of Hermes,28.5,4.17,16.34,Not Migrated
mythos/comparative/gilgamesh-biblical/friendship-covenant.html,2157,heroes,jewish_virgin-births,Horus and Mary,0.86,31.82,16.34,Not Migrated
FIREBASE/mythos/comparative/gilgamesh-biblical/friendship-covenant.html,2130,heroes,jewish_virgin-births,Horus and Mary,0.88,31.82,16.35,Not Migrated
FIREBASE/mythos/jewish/kabbalah/worlds/yetzirah.html,1245,symbols,persian_faravahar,Persian Mythology,2.47,30.23,16.35,Not Migrated
mythos/jewish/kabbalah/worlds/yetzirah.html,1245,symbols,persian_faravahar,Persian Mythology,2.47,30.23,16.35,Not Migrated
FIREBASE/mythos/roman/deities/vesta.html,399,items,eye-of-horus,Eye of Horus,29.03,3.7,16.37,Not Migrated
FIREBASE/mythos/christian/heroes/index.html,368,heroes,christian_peter,Saint Peter the Apostle,2.14,30.77,16.45,Not Migrated
login.html,54,items,hermes-caduceus,Caduceus of Hermes,32.26,0.68,16.47,Not Migrated
FIREBASE/mythos/sumerian/heroes/gilgamesh.html,171,items,athena-aegis,Aegis of Athena,31.0,2.0,16.5,Not Migrated
mythos/christian/texts/revelation/new-jerusalem.html,1074,items,ark-of-covenant,Ark of the Covenant,24.47,8.53,16.5,Not Migrated
mythos/christian/texts/revelation/parallels/seven-patterns.html,2283,texts,christian_seven-patterns,From Genesis to Revelation,1.0,32.0,16.5,Not Migrated
FIREBASE/mythos/christian/texts/revelation/parallels/seven-patterns.html,2250,texts,christian_seven-patterns,From Genesis to Revelation,1.02,32.0,16.51,Not Migrated
archetypes/place-archetypes/underworld/index.html,251,places,duat,Duat,3.7,29.41,16.55,Not Migrated
FIREBASE/archetypes/place-archetypes/underworld/index.html,251,places,duat,Duat,3.7,29.41,16.55,Not Migrated
mythos/christian/texts/revelation/parallels/zechariah-parallels.html,859,items,ark-of-covenant,Ark of the Covenant,26.47,6.71,16.59,Not Migrated
FIREBASE/mythos/christian/texts/revelation/four-living-creatures.html,331,items,ark-of-covenant,Ark of the Covenant,29.27,3.98,16.62,Not Migrated
FIREBASE/mythos/christian/texts/revelation/new-jerusalem.html,1041,items,ark-of-covenant,Ark of the Covenant,24.88,8.37,16.62,Not Migrated
FIREBASE/mythos/tarot/deities/fool.html,915,deities,egyptian_sobek,Crocodile God | Egyptian Mythology,1.56,31.82,16.69,Not Migrated
mythos/hindu/deities/shiva.html,1009,mythologies,hindu,Hindu Mythology,3.21,30.19,16.7,Not Migrated
mythos/islamic/deities/muhammad.html,1387,items,black-stone,Black Stone,20.68,12.73,16.7,Not Migrated
FIREBASE/mythos/buddhist/concepts/compassion.html,140,heroes,buddhist_shantideva,Buddhist Mythology,10.34,23.08,16.71,Not Migrated
mythos/tarot/deities/fool.html,883,deities,egyptian_sobek,Crocodile God | Egyptian Mythology,1.61,31.82,16.71,Not Migrated
archetypes/elemental-archetypes/earth/index.html,398,items,eye-of-horus,Eye of Horus,29.68,3.82,16.75,Not Migrated
FIREBASE/archetypes/elemental-archetypes/earth/index.html,398,items,eye-of-horus,Eye of Horus,29.68,3.82,16.75,Not Migrated
FIREBASE/mythos/jewish/kabbalah/names_overview.html,578,items,kusanagi,Kusanagi-no-Tsurugi,28.52,5.03,16.77,Not Migrated
FIREBASE/theories/user-submissions/view.html,15,items,hermes-caduceus,Caduceus of Hermes,33.33,0.21,16.77,Not Migrated
mythos/jewish/kabbalah/names_overview.html,578,items,kusanagi,Kusanagi-no-Tsurugi,28.52,5.03,16.77,Not Migrated
theories/user-submissions/view.html,15,items,hermes-caduceus,Caduceus of Hermes,33.33,0.21,16.77,Not Migrated
archetypes/elemental-archetypes/chaos-void/index.html,393,items,draupnir,Draupnir,30.21,3.35,16.78,Not Migrated
FIREBASE/archetypes/elemental-archetypes/chaos-void/index.html,393,items,draupnir,Draupnir,30.21,3.35,16.78,Not Migrated
mythos/christian/lineage/ancestors/abraham.html,301,heroes,jewish_abraham,Avraham Avinu | Jewish Heroes,9.16,24.49,16.82,Not Migrated
mythos/jewish/kabbalah/concepts-physics-integration.html,214,texts,jewish_flood-myths-ane,"The Great Flood: Gilgamesh, Atrahasis, and Genesis | Eyes of Azrael",5.13,28.57,16.85,Not Migrated
mythos/christian/texts/revelation/index.html,883,texts,christian_millennium,Revelation 20,1.94,31.82,16.88,Not Migrated
FIREBASE/mythos/christian/lineage/ancestors/abraham.html,298,heroes,jewish_abraham,Avraham Avinu | Jewish Heroes,9.3,24.49,16.89,Not Migrated
FIREBASE/mythos/christian/texts/revelation/parallels/zechariah-parallels.html,826,items,ark-of-covenant,Ark of the Covenant,27.24,6.55,16.89,Not Migrated
mythos/roman/deities/pluto.html,446,items,hermes-caduceus,Caduceus of Hermes,29.61,4.17,16.89,Not Migrated
FIREBASE/mythos/christian/gnostic/daniels-kingdom.html,2686,heroes,christian_daniel,Daniel the Prophet,0.48,33.33,16.9,Not Migrated
mythos/christian/gnostic/daniels-kingdom.html,2686,heroes,christian_daniel,Daniel the Prophet,0.48,33.33,16.9,Not Migrated
FIREBASE/herbalism/traditions/hindu/index.html,402,herbs,hindu_tulsi,Tulsi (Holy Basil),13.45,20.38,16.91,Not Migrated
herbalism/traditions/hindu/index.html,402,herbs,hindu_tulsi,Tulsi (Holy Basil),13.45,20.38,16.91,Not Migrated
mythos/roman/deities/vesta.html,399,items,eye-of-horus,Eye of Horus,30.14,3.7,16.92,Not Migrated
FIREBASE/mythos/christian/texts/revelation/index.html,850,texts,christian_millennium,Revelation 20,2.03,31.82,16.93,Not Migrated
FIREBASE/mythos/roman/deities/minerva.html,692,items,athena-aegis,Aegis of Athena,27.4,6.45,16.93,Not Migrated
index-dynamic.html,37,items,hermes-caduceus,Caduceus of Hermes,33.33,0.55,16.94,Not Migrated
index-old-backup.html,37,items,hermes-caduceus,Caduceus of Hermes,33.33,0.55,16.94,Not Migrated
index-old-system.html,37,items,hermes-caduceus,Caduceus of Hermes,33.33,0.55,16.94,Not Migrated
index.html,35,items,hermes-caduceus,Caduceus of Hermes,33.33,0.55,16.94,Not Migrated
FIREBASE/mythos/tarot/deities/lovers.html,815,symbols,persian_faravahar,Persian Mythology,3.69,30.23,16.96,Not Migrated
mythos/comparative/flood-myths/enoch-watchers-nephilim.html,2651,texts,jewish_flood-myths-ane,"The Great Flood: Gilgamesh, Atrahasis, and Genesis | Eyes of Azrael",0.6,33.33,16.96,Not Migrated
mythos/comparative/gilgamesh-biblical/whore-of-babylon.html,2203,cosmology,babylonian_afterlife,⚰️ Babylonian Afterlife,2.67,31.25,16.96,Not Migrated
FIREBASE/mythos/comparative/flood-myths/enoch-watchers-nephilim.html,2624,texts,jewish_flood-myths-ane,"The Great Flood: Gilgamesh, Atrahasis, and Genesis | Eyes of Azrael",0.61,33.33,16.97,Not Migrated
search-advanced.html,113,items,eye-of-horus,Eye of Horus,32.47,1.47,16.97,Not Migrated
FIREBASE/mythos/comparative/gilgamesh-biblical/whore-of-babylon.html,2176,cosmology,babylonian_afterlife,⚰️ Babylonian Afterlife,2.71,31.25,16.98,Not Migrated
FIREBASE/mythos/islamic/deities/muhammad.html,1512,items,black-stone,Black Stone,21.01,13.05,17.03,Not Migrated
mythos/jewish/heroes/enoch/metatron-transformation.html,1681,creatures,christian_hierarchy,The Nine Choirs,2.15,31.91,17.03,Not Migrated
mythos/christian/texts/revelation/parallels/ezekiel-parallels.html,1547,heroes,christian_daniel,Daniel the Prophet,0.75,33.33,17.04,Not Migrated
